petal_length.MEDIAN(training.petal_width),sepal_width.MEAN(training.petal_width),petal_length.STD(training.petal_width),petal_length.MODE(training.sepal_width),petal_length.COUNT(training),sepal_length.STD(training.petal_width),sepal_length.SKEW(training.petal_width),sepal_width.MODE(training.petal_length),sepal_width,sepal_width.MODE(training.sepal_length),sepal_width.MAX(training.petal_width),petal_length.SKEW(training.petal_width),sepal_width.SKEW(training.petal_width),sepal_length.COUNT(training),sepal_width.COUNT(training),sepal_width.STD(training.petal_width)_Missing_Flag,species
0.2,0.3,0.06405126152203484,3.0,13,0.28284271247461906,2.258637955084709,1.3,3.5,5.0,0.6,-0.05322441475907797,1.9364916731037087,9,6,0,1
0.2,1.4038461538461537,0.06405126152203484,3.0,13,0.6595452979136459,1.4053569249242015,1.4,3.0,6.5,2.3,-0.05322441475907797,-0.7954316041564151,6,26,0,1
0.2,1.2615384615384615,0.07867957924694431,3.2,7,0.0,-2.732050807568874,1.3,3.2,4.7,2.3,1.1145497793916248,-0.24213982853319915,2,13,0,1
0.2,1.2454545454545454,0.10439078454267836,3.1,13,0.04999999999999999,2.000000000000002,1.5,3.1,6.7,2.4,0.620867392735239,-0.2273186735484338,4,11,0,1
0.2,0.75,0.06405126152203484,3.0,13,0.32676869155073257,1.2428958115844235,1.4,3.6,4.6,2.5,-0.05322441475907797,1.9901329625821695,10,4,0,1
0.35,0.4,0.12909944487358055,3.3,4,0.4915960401250875,2.22863106590073,1.3,3.9,5.4,0.4,0.0,-2.897506559804391,6,2,0,1
0.2,0.7166666666666667,0.06405126152203484,3.0,13,0.04999999999999999,2.000000000000002,1.5,3.4,4.8,2.4,-0.05322441475907797,1.4623484241071376,4,12,0,1
0.2,0.7166666666666667,0.10439078454267836,3.1,13,0.32676869155073257,1.2428958115844235,1.5,3.4,4.8,2.4,0.620867392735239,1.4623484241071376,10,12,0,1
0.2,1.3199999999999998,0.06405126152203484,3.0,13,0.0,0.0,4.3,2.9,4.4,1.8,-0.05322441475907797,-1.8975065598043914,3,10,0,1
0.2,1.2454545454545454,0.10439078454267836,3.1,13,0.6595452979136459,1.4053569249242015,1.5,3.1,6.7,2.4,0.620867392735239,-0.2273186735484338,6,11,0,1
0.2,0.26666666666666666,0.10439078454267836,3.1,13,0.4915960401250875,2.22863106590073,1.5,3.7,5.1,0.4,0.620867392735239,1.7320508075688787,6,3,0,1
0.2,0.7166666666666667,0.15735915849388862,3.4,7,0.07071067811865474,0.0,1.5,3.4,4.8,2.4,1.7598154411446716,1.4623484241071376,5,12,0,1
0.2,1.4038461538461537,0.06405126152203484,3.0,13,0.07071067811865474,0.0,1.4,3.0,6.5,2.3,-0.05322441475907797,-0.7954316041564151,5,26,0,1
0.1,1.4038461538461537,-1.0,3.0,1,-1.0,-2.732050807568874,1.4,3.0,6.5,2.3,-2.9999999999999982,-0.7954316041564151,1,26,0,1
0.2,0.2,0.0,3.2,2,0.7280109889280517,-0.3374404797381013,1.2,4.0,5.8,0.2,-2.9999999999999982,-2.897506559804391,7,1,1,1
0.2,0.4,0.10439078454267836,3.1,13,0.5451081150953975,-0.1199479765095277,1.5,4.4,5.7,0.4,0.620867392735239,-2.897506559804391,8,1,1,1
0.2,0.4,0.07867957924694431,3.2,7,0.4915960401250875,2.22863106590073,1.3,3.9,5.4,0.4,1.1145497793916248,-2.897506559804391,6,2,0,1
0.2,0.3,0.06405126152203484,3.0,13,0.28284271247461906,2.258637955084709,1.3,3.5,5.0,0.6,-0.05322441475907797,1.9364916731037087,9,6,0,1
0.35,0.9,0.12909944487358055,3.3,4,0.5451081150953975,-0.1199479765095277,1.5,3.8,5.1,2.2,0.0,0.968215181865566,8,6,0,1
0.2,0.9,0.10439078454267836,3.1,13,0.28284271247461906,2.258637955084709,1.5,3.8,5.1,2.2,0.620867392735239,0.968215181865566,9,6,0,1
0.35,0.7166666666666667,0.12909944487358055,3.3,4,0.4915960401250875,2.22863106590073,1.5,3.4,4.8,2.4,0.0,1.4623484241071376,6,12,0,1
0.2,0.26666666666666666,0.10439078454267836,3.1,13,0.28284271247461906,2.258637955084709,1.5,3.7,5.1,0.4,0.620867392735239,1.7320508075688787,9,3,0,1
0.2,0.75,-1.0,3.6,1,0.04999999999999999,2.000000000000002,1.4,3.6,4.6,2.5,-2.9999999999999982,1.9901329625821695,4,4,0,1
0.35,1.5666666666666667,0.12909944487358055,3.3,4,0.28284271247461906,2.258637955084709,5.7,3.3,6.3,2.5,0.0,-0.5906173273478378,9,6,0,1
0.30000000000000004,0.7166666666666667,0.1414213562373095,3.4,2,0.07071067811865474,0.0,1.5,3.4,4.8,2.4,-2.9999999999999982,1.4623484241071376,5,12,0,1
0.2,1.4038461538461537,0.15735915849388862,3.4,7,0.32676869155073257,1.2428958115844235,1.4,3.0,6.5,2.3,1.7598154411446716,-0.7954316041564151,10,26,0,1
0.2,0.7166666666666667,0.15735915849388862,3.4,7,0.32676869155073257,1.2428958115844235,1.5,3.4,4.8,2.4,1.7598154411446716,1.4623484241071376,10,12,0,1
0.2,0.3,0.10439078454267836,3.1,13,0.618465843842649,1.9645914027997509,1.3,3.5,5.0,0.6,0.620867392735239,1.9364916731037087,4,6,0,1
0.2,0.7166666666666667,0.06405126152203484,3.0,13,0.618465843842649,1.9645914027997509,1.5,3.4,4.8,2.4,-0.05322441475907797,1.4623484241071376,4,12,0,1
0.2,1.2615384615384615,0.15735915849388862,3.4,7,0.0,-2.732050807568874,1.3,3.2,4.7,2.3,1.7598154411446716,-0.24213982853319915,2,13,0,1
0.2,1.2454545454545454,0.15735915849388862,3.4,7,0.07071067811865474,0.0,1.5,3.1,6.7,2.4,1.7598154411446716,-0.2273186735484338,5,11,0,1
0.2,0.7166666666666667,0.10439078454267836,3.1,13,0.4915960401250875,2.22863106590073,1.5,3.4,4.8,2.4,0.620867392735239,1.4623484241071376,6,12,0,1
0.2,0.1,0.10439078454267836,3.1,13,0.618465843842649,1.9645914027997509,1.5,4.1,5.2,0.1,0.620867392735239,-2.897506559804391,4,1,1,1
0.2,0.2,0.06405126152203484,3.0,13,0.4898979485566357,-1.0359300370520532,1.4,4.2,5.5,0.2,-0.05322441475907797,-2.897506559804391,7,1,1,1
0.2,1.2454545454545454,0.10439078454267836,3.1,13,0.6595452979136459,1.4053569249242015,1.5,3.1,6.7,2.4,0.620867392735239,-0.2273186735484338,6,11,0,1
0.2,1.2615384615384615,0.0,3.2,2,0.32676869155073257,1.2428958115844235,1.3,3.2,4.7,2.3,-2.9999999999999982,-0.24213982853319915,10,13,0,1
0.2,0.3,0.07867957924694431,3.2,7,0.4898979485566357,-1.0359300370520532,1.3,3.5,5.0,0.6,1.1145497793916248,1.9364916731037087,7,6,0,1
0.2,0.75,0.06405126152203484,3.0,13,0.6595452979136459,1.4053569249242015,1.4,3.6,4.6,2.5,-0.05322441475907797,1.9901329625821695,6,4,0,1
0.2,1.4038461538461537,0.07867957924694431,3.2,7,0.0,0.0,1.4,3.0,6.5,2.3,1.1145497793916248,-0.7954316041564151,3,26,0,1
0.2,0.7166666666666667,0.10439078454267836,3.1,13,0.28284271247461906,2.258637955084709,1.5,3.4,4.8,2.4,0.620867392735239,1.4623484241071376,9,12,0,1
0.2,0.3,0.07867957924694431,3.2,7,0.32676869155073257,1.2428958115844235,1.3,3.5,5.0,0.6,1.1145497793916248,1.9364916731037087,10,6,0,1
0.2,0.9750000000000001,0.07867957924694431,3.2,7,-1.0,-2.732050807568874,1.3,2.3,4.5,1.3,1.1145497793916248,-1.5173452799192169,1,4,0,1
0.2,1.2615384615384615,0.07867957924694431,3.2,7,0.0,0.0,1.3,3.2,4.7,2.3,1.1145497793916248,-0.24213982853319915,3,13,0,1
0.2,0.3,0.15735915849388862,3.4,7,0.32676869155073257,1.2428958115844235,1.3,3.5,5.0,0.6,1.7598154411446716,1.9364916731037087,10,6,0,1
0.30000000000000004,0.9,0.1414213562373095,3.4,2,0.28284271247461906,2.258637955084709,1.5,3.8,5.1,2.2,-2.9999999999999982,0.968215181865566,9,6,0,1
0.2,1.4038461538461537,0.06405126152203484,3.0,13,0.07071067811865474,0.0,1.4,3.0,6.5,2.3,-0.05322441475907797,-0.7954316041564151,5,26,0,1
0.2,0.9,0.15735915849388862,3.4,7,0.28284271247461906,2.258637955084709,1.5,3.8,5.1,2.2,1.7598154411446716,0.968215181865566,9,6,0,1
0.2,1.2615384615384615,0.06405126152203484,3.0,13,0.04999999999999999,2.000000000000002,1.3,3.2,4.7,2.3,-0.05322441475907797,-0.24213982853319915,4,13,0,1
0.2,0.26666666666666666,0.10439078454267836,3.1,13,-1.0,-2.732050807568874,1.5,3.7,5.1,0.4,0.620867392735239,1.7320508075688787,1,3,0,1
0.2,1.5666666666666667,0.06405126152203484,3.0,13,0.32676869155073257,1.2428958115844235,5.7,3.3,6.3,2.5,-0.05322441475907797,-0.5906173273478378,10,6,0,1
1.4,1.2615384615384615,0.14832396974191328,2.8,5,-1.0,-2.732050807568874,1.3,3.2,4.7,2.3,-0.5516180692881114,-0.24213982853319915,1,13,0,2
1.5,1.2615384615384615,0.1125991626459604,3.0,8,0.3683941988065036,-0.5228952561453,1.3,3.2,4.7,2.3,-0.3127134054837205,-0.24213982853319915,7,13,0,2
1.8,1.2454545454545454,0.21679483388678794,2.5,5,0.3785938897200182,-1.658523800287802,1.5,3.1,6.7,2.4,0.06869913251279,-0.2273186735484338,4,11,0,2
1.3,0.9750000000000001,0.130384048104053,2.2,5,0.4898979485566357,-1.0359300370520532,1.3,2.3,4.5,1.3,-1.7143923280117666,-1.5173452799192169,7,4,0,2
1.4,1.707142857142857,0.09999999999999992,2.8,3,0.26457513110645914,-0.8099238707340553,4.8,2.8,5.7,2.4,0.0,0.27867344586974363,5,14,0,2
1.5,1.707142857142857,0.1125991626459604,3.0,8,0.5451081150953975,-0.1199479765095277,4.8,2.8,5.7,2.4,-0.3127134054837205,0.27867344586974363,8,14,0,2
1.4,1.5666666666666667,0.14832396974191328,2.8,5,0.40756730868791613,0.7802697016697138,5.7,3.3,6.3,2.5,-0.5516180692881114,-0.5906173273478378,9,6,0,2
1.0,1.0333333333333334,0.0,2.3,2,0.6595452979136459,1.4053569249242015,3.3,2.4,5.5,1.1,-2.9999999999999982,1.7320508075688659,6,3,0,2
1.4,1.3199999999999998,0.09999999999999992,2.8,3,0.07071067811865459,-2.732050807568874,4.3,2.9,4.4,1.8,0.0,-1.8975065598043914,2,10,0,2
1.2,1.5555555555555556,0.15275252316519458,2.7,3,0.618465843842649,1.9645914027997509,5.1,2.7,5.8,1.9,0.9352195295828212,-0.3959429800761645,4,9,0,2
1.0,1.0,0.0,2.0,2,0.32676869155073257,1.2428958115844235,3.5,2.0,5.0,1.0,-2.9999999999999982,-2.897506559804391,10,1,1,2
1.3,1.4038461538461537,0.12583057392117908,3.0,4,0.17320508075688784,-1.7320508075688743,1.4,3.0,6.5,2.3,1.1293381149712487,-0.7954316041564151,3,26,0,2
1.3,1.3333333333333333,0.130384048104053,2.2,5,0.2683281572999748,-1.4907119849998596,4.0,2.2,6.0,1.5,-1.7143923280117666,-1.732050807568875,6,3,0,2
1.4,1.3199999999999998,0.14832396974191328,2.8,5,0.20412414523193154,1.5715926189696852,4.3,2.9,4.4,1.8,-0.5516180692881114,-1.8975065598043914,6,10,0,2
1.3,1.3199999999999998,-1.0,2.9,1,0.3125166662222459,1.5977304896381284,4.3,2.9,4.4,1.8,-2.9999999999999982,-1.8975065598043914,6,10,0,2
1.35,1.2454545454545454,0.09574271077563382,2.3,4,0.42067123233504533,-0.04917421014362659,1.5,3.1,6.7,2.4,-0.8545630383279728,-0.2273186735484338,8,11,0,2
1.5,1.4038461538461537,0.1125991626459604,3.0,8,0.3125166662222459,1.5977304896381284,1.4,3.0,6.5,2.3,-0.3127134054837205,-0.7954316041564151,6,26,0,2
1.3,1.5555555555555556,0.17320508075688784,2.7,3,0.7280109889280517,-0.3374404797381013,5.1,2.7,5.8,1.9,-1.7320508075688743,-0.3959429800761645,7,9,0,2
1.5,1.3333333333333333,0.1125991626459604,3.0,8,0.43493294502332963,0.8295369566048805,4.0,2.2,6.0,1.5,-0.3127134054837205,-1.732050807568875,4,3,0,2
1.2,1.55,0.15275252316519458,2.7,3,0.3125166662222459,1.5977304896381284,5.0,2.5,6.3,2.0,0.9352195295828212,-0.1922986618696933,6,8,0,2
1.8,1.2615384615384615,0.20000000000000007,2.8,4,0.17320508075688784,-1.7320508075688743,1.3,3.2,4.7,2.3,-1.9999999999999982,-0.24213982853319915,3,13,0,2
1.3,1.707142857142857,0.130384048104053,2.2,5,0.20412414523193154,1.5715926189696852,4.8,2.8,5.7,2.4,-1.7143923280117666,0.27867344586974363,6,14,0,2
1.8,1.55,0.21679483388678794,2.5,5,0.40756730868791613,0.7802697016697138,5.0,2.5,6.3,2.0,0.06869913251279,-0.1922986618696933,9,8,0,2
1.4,1.707142857142857,0.14832396974191328,2.8,5,0.20412414523193154,1.5715926189696852,4.8,2.8,5.7,2.4,-0.5516180692881114,0.27867344586974363,6,14,0,2
1.3,1.3199999999999998,0.0,2.9,2,0.3683941988065036,-0.5228952561453,4.3,2.9,4.4,1.8,-2.9999999999999982,-1.8975065598043914,7,10,0,2
1.35,1.4038461538461537,0.09574271077563382,2.3,4,0.07071067811865459,-2.732050807568874,1.4,3.0,6.5,2.3,-0.8545630383279728,-0.7954316041564151,2,26,0,2
1.8,1.707142857142857,0.20000000000000007,2.8,4,0.47258156262526085,-1.3896361387064942,4.8,2.8,5.7,2.4,-1.9999999999999982,0.27867344586974363,3,14,0,2
1.7999999999999998,1.4038461538461537,0.2217355782608345,2.5,4,0.42067123233504533,-0.04917421014362659,1.4,3.0,6.5,2.3,-0.48156304844926806,-0.7954316041564151,8,26,0,2
1.5,1.3199999999999998,0.1125991626459604,3.0,8,0.2683281572999748,-1.4907119849998596,4.3,2.9,4.4,1.8,-0.3127134054837205,-1.8975065598043914,6,10,0,2
1.0,1.42,0.0,2.0,2,0.5451081150953975,-0.1199479765095277,3.5,2.6,5.5,2.3,-2.9999999999999982,1.8209319774159005,8,5,0,2
1.1,1.0333333333333334,-1.0,2.4,1,0.4898979485566357,-1.0359300370520532,3.3,2.4,5.5,1.1,-2.9999999999999982,1.7320508075688659,7,3,0,2
1.0,1.0333333333333334,-1.0,2.4,1,0.4898979485566357,-1.0359300370520532,3.3,2.4,5.5,1.1,-2.9999999999999982,1.7320508075688659,7,3,0,2
1.2,1.5555555555555556,0.15275252316519458,2.7,3,0.7280109889280517,-0.3374404797381013,5.1,2.7,5.8,1.9,0.9352195295828212,-0.3959429800761645,7,9,0,2
1.9,1.5555555555555556,0.31052950170405935,2.7,8,0.2683281572999748,-1.4907119849998596,5.1,2.7,5.8,1.9,0.3005618880691133,-0.3959429800761645,6,9,0,2
1.5,1.4038461538461537,0.1125991626459604,3.0,8,0.4915960401250875,2.22863106590073,1.4,3.0,6.5,2.3,-0.3127134054837205,-0.7954316041564151,6,26,0,2
1.5,0.7166666666666667,0.1125991626459604,3.0,8,0.2683281572999748,-1.4907119849998596,1.5,3.4,4.8,2.4,-0.3127134054837205,1.4623484241071376,6,12,0,2
1.4,1.2454545454545454,0.14832396974191328,2.8,5,0.42067123233504533,-0.04917421014362659,1.5,3.1,6.7,2.4,-0.5516180692881114,-0.2273186735484338,8,11,0,2
1.35,0.9750000000000001,0.09574271077563382,2.3,4,0.40756730868791613,0.7802697016697138,1.3,2.3,4.5,1.3,-0.8545630383279728,-1.5173452799192169,9,4,0,2
1.3,1.4038461538461537,0.17320508075688784,2.7,3,0.3125166662222459,1.5977304896381284,1.4,3.0,6.5,2.3,-1.7320508075688743,-0.7954316041564151,6,26,0,2
1.3,1.55,0.130384048104053,2.2,5,0.4898979485566357,-1.0359300370520532,5.0,2.5,6.3,2.0,-1.7143923280117666,-0.1922986618696933,7,8,0,2
1.35,1.42,0.09574271077563382,2.3,4,0.4898979485566357,-1.0359300370520532,3.5,2.6,5.5,2.3,-0.8545630383279728,1.8209319774159005,7,5,0,2
1.4,1.4038461538461537,0.09999999999999992,2.8,3,0.20412414523193154,1.5715926189696852,1.4,3.0,6.5,2.3,0.0,-0.7954316041564151,6,26,0,2
1.3,1.42,0.130384048104053,2.2,5,0.7280109889280517,-0.3374404797381013,3.5,2.6,5.5,2.3,-1.7143923280117666,1.8209319774159005,7,5,0,2
1.0,0.9750000000000001,0.0,2.3,2,0.32676869155073257,1.2428958115844235,1.3,2.3,4.5,1.3,-2.9999999999999982,-1.5173452799192169,10,4,0,2
1.3,1.5555555555555556,0.12583057392117908,3.0,4,0.3125166662222459,1.5977304896381284,5.1,2.7,5.8,1.9,1.1293381149712487,-0.3959429800761645,6,9,0,2
1.3,1.4038461538461537,0.12583057392117908,3.0,4,0.5451081150953975,-0.1199479765095277,1.4,3.0,6.5,2.3,1.1293381149712487,-0.7954316041564151,8,26,0,2
1.3,1.3199999999999998,0.12583057392117908,3.0,4,0.5451081150953975,-0.1199479765095277,4.3,2.9,4.4,1.8,1.1293381149712487,-1.8975065598043914,8,10,0,2
1.3,1.3199999999999998,0.0,2.9,2,0.43493294502332963,0.8295369566048805,4.3,2.9,4.4,1.8,-2.9999999999999982,-1.8975065598043914,4,10,0,2
1.1,1.55,-1.0,2.5,1,0.28284271247461906,2.258637955084709,5.0,2.5,6.3,2.0,-2.9999999999999982,-0.1922986618696933,9,8,0,2
1.3,1.707142857142857,0.17320508075688784,2.7,3,0.5451081150953975,-0.1199479765095277,4.8,2.8,5.7,2.4,-1.7320508075688743,0.27867344586974363,8,14,0,2
2.15,1.5666666666666667,0.4949747468305831,3.2,2,0.40756730868791613,0.7802697016697138,5.7,3.3,6.3,2.5,-2.9999999999999982,-0.5906173273478378,9,6,0,0
1.9,1.5555555555555556,0.31052950170405935,2.7,8,0.7280109889280517,-0.3374404797381013,5.1,2.7,5.8,1.9,0.3005618880691133,-0.3959429800761645,7,9,0,0
2.2,1.4038461538461537,0.14142135623730917,3.0,2,-1.0,-2.732050807568874,1.4,3.0,6.5,2.3,-2.9999999999999982,-0.7954316041564151,1,26,0,0
2.1500000000000004,1.3199999999999998,0.3885871845545089,2.8,6,0.40756730868791613,0.7802697016697138,4.3,2.9,4.4,1.8,-1.02766577030117,-1.8975065598043914,9,10,0,0
1.8,1.4038461538461537,0.30550504633038933,3.0,3,0.26457513110645914,-0.8099238707340553,1.4,3.0,6.5,2.3,0.9352195295828338,-0.7954316041564151,5,26,0,0
2.1,1.4038461538461537,-1.0,3.0,1,-1.0,-2.732050807568874,1.4,3.0,6.5,2.3,-2.9999999999999982,-0.7954316041564151,1,26,0,0
1.5,1.55,0.1125991626459604,3.0,8,0.6595452979136459,1.4053569249242015,5.0,2.5,6.3,2.0,-0.3127134054837205,-0.1922986618696933,6,8,0,0
1.8,1.3199999999999998,-1.0,2.9,1,-1.0,-2.732050807568874,4.3,2.9,4.4,1.8,-2.9999999999999982,-1.8975065598043914,1,10,0,0
1.8,1.55,0.30550504633038933,3.0,3,0.42067123233504533,-0.04917421014362659,5.0,2.5,6.3,2.0,0.9352195295828338,-0.1922986618696933,8,8,0,0
2.3,0.75,0.30550504633038944,2.8,3,0.4725815626252607,1.3896361387064908,1.4,3.6,4.6,2.5,-0.9352195295828278,1.9901329625821695,3,4,0,0
1.9,1.2615384615384615,0.31052950170405935,2.7,8,0.26457513110645914,-0.8099238707340553,1.3,3.2,4.7,2.3,0.3005618880691133,-0.24213982853319915,5,13,0,0
2.0999999999999996,1.5555555555555556,0.2828427124746191,2.7,2,0.3683941988065036,-0.5228952561453,5.1,2.7,5.8,1.9,-2.9999999999999982,-0.3959429800761645,7,9,0,0
1.8,1.4038461538461537,0.17320508075688784,3.0,3,0.47258156262526085,-1.3896361387064942,1.4,3.0,6.5,2.3,1.7320508075688743,-0.7954316041564151,3,26,0,0
1.7999999999999998,1.55,0.2217355782608345,2.5,4,0.5451081150953975,-0.1199479765095277,5.0,2.5,6.3,2.0,-0.48156304844926806,-0.1922986618696933,8,8,0,0
1.9,1.707142857142857,0.31052950170405935,2.7,8,0.7280109889280517,-0.3374404797381013,4.8,2.8,5.7,2.4,0.3005618880691133,0.27867344586974363,7,14,0,0
2.0999999999999996,1.2615384615384615,0.2828427124746191,2.7,2,0.3683941988065036,-0.5228952561453,1.3,3.2,4.7,2.3,-2.9999999999999982,-0.24213982853319915,7,13,0,0
1.8,1.4038461538461537,0.17320508075688784,3.0,3,0.26457513110645914,-0.8099238707340553,1.4,3.0,6.5,2.3,1.7320508075688743,-0.7954316041564151,5,26,0,0
2.1,0.9,0.14142135623730964,2.8,2,0.14142135623730942,-1.4142135623731074,1.5,3.8,5.1,2.2,-2.9999999999999982,0.968215181865566,4,6,0,0
2.3,1.42,-1.0,2.6,1,0.14142135623730942,-1.4142135623731074,3.5,2.6,5.5,2.3,-2.9999999999999982,1.8209319774159005,4,5,0,0
1.7999999999999998,1.3333333333333333,0.2217355782608345,2.5,4,0.2683281572999748,-1.4907119849998596,4.0,2.2,6.0,1.5,-0.48156304844926806,-1.732050807568875,6,3,0,0
2.3,1.2615384615384615,0.19999999999999984,3.3,3,0.3785938897200182,-1.658523800287802,1.3,3.2,4.7,2.3,0.0,-0.24213982853319915,4,13,0,0
1.8,1.707142857142857,0.21679483388678794,2.5,5,0.3125166662222459,1.5977304896381284,4.8,2.8,5.7,2.4,0.06869913251279,0.27867344586974363,6,14,0,0
2.1,1.707142857142857,0.14142135623730964,2.8,2,0.14142135623730942,-1.4142135623731074,4.8,2.8,5.7,2.4,-2.9999999999999982,0.27867344586974363,4,14,0,0
1.8,1.5555555555555556,0.21679483388678794,2.5,5,0.40756730868791613,0.7802697016697138,5.1,2.7,5.8,1.9,0.06869913251279,-0.3959429800761645,9,9,0,0
2.3,1.5666666666666667,0.19999999999999984,3.3,3,0.42067123233504533,-0.04917421014362659,5.7,3.3,6.3,2.5,0.0,-0.5906173273478378,8,6,0,0
2.15,1.2615384615384615,0.4949747468305831,3.2,2,0.4725815626252607,1.3896361387064908,1.3,3.2,4.7,2.3,-2.9999999999999982,-0.24213982853319915,3,13,0,0
1.8,1.707142857142857,0.20000000000000007,2.8,4,0.43493294502332963,0.8295369566048805,4.8,2.8,5.7,2.4,-1.9999999999999982,0.27867344586974363,4,14,0,0
1.8,1.4038461538461537,0.21679483388678794,2.5,5,0.20412414523193154,1.5715926189696852,1.4,3.0,6.5,2.3,0.06869913251279,-0.7954316041564151,6,26,0,0
2.1500000000000004,1.707142857142857,0.3885871845545089,2.8,6,0.3683941988065036,-0.5228952561453,4.8,2.8,5.7,2.4,-1.02766577030117,0.27867344586974363,7,14,0,0
1.8,1.4038461538461537,0.30550504633038933,3.0,3,0.4725815626252607,1.3896361387064908,1.4,3.0,6.5,2.3,0.9352195295828338,-0.7954316041564151,3,26,0,0
2.3,1.707142857142857,0.30550504633038944,2.8,3,-1.0,-2.732050807568874,4.8,2.8,5.7,2.4,-0.9352195295828278,0.27867344586974363,1,14,0,0
2.0,0.9,-1.0,3.8,1,-1.0,-2.732050807568874,1.5,3.8,5.1,2.2,-2.9999999999999982,0.968215181865566,1,6,0,0
2.1500000000000004,1.707142857142857,0.3885871845545089,2.8,6,0.3683941988065036,-0.5228952561453,4.8,2.8,5.7,2.4,-1.02766577030117,0.27867344586974363,7,14,0,0
1.9,1.707142857142857,0.31052950170405935,2.7,8,0.40756730868791613,0.7802697016697138,4.8,2.8,5.7,2.4,0.3005618880691133,0.27867344586974363,9,14,0,0
2.1500000000000004,1.42,0.3885871845545089,2.8,6,0.20412414523193154,1.5715926189696852,3.5,2.6,5.5,2.3,-1.02766577030117,1.8209319774159005,6,5,0,0
2.3,1.4038461538461537,0.30550504633038944,2.8,3,0.14142135623730942,-1.4142135623731074,1.4,3.0,6.5,2.3,-0.9352195295828278,-0.7954316041564151,4,26,0,0
2.1500000000000004,0.7166666666666667,0.3885871845545089,2.8,6,0.40756730868791613,0.7802697016697138,1.5,3.4,4.8,2.4,-1.02766577030117,1.4623484241071376,9,12,0,0
1.8,1.2454545454545454,0.17320508075688784,3.0,3,0.3683941988065036,-0.5228952561453,1.5,3.1,6.7,2.4,1.7320508075688743,-0.2273186735484338,7,11,0,0
1.8,1.4038461538461537,0.20000000000000007,2.8,4,0.2683281572999748,-1.4907119849998596,1.4,3.0,6.5,2.3,-1.9999999999999982,-0.7954316041564151,6,26,0,0
2.2,1.2454545454545454,0.14142135623730917,3.1,2,0.3785938897200182,-1.658523800287802,1.5,3.1,6.7,2.4,-2.9999999999999982,-0.2273186735484338,4,11,0,0
2.1500000000000004,1.2454545454545454,0.3885871845545089,2.8,6,0.42067123233504533,-0.04917421014362659,1.5,3.1,6.7,2.4,-1.02766577030117,-0.2273186735484338,8,11,0,0
1.9,1.2454545454545454,0.31052950170405935,2.7,8,0.3785938897200182,-1.658523800287802,1.5,3.1,6.7,2.4,0.3005618880691133,-0.2273186735484338,4,11,0,0
1.9,1.5555555555555556,0.31052950170405935,2.7,8,0.7280109889280517,-0.3374404797381013,5.1,2.7,5.8,1.9,0.3005618880691133,-0.3959429800761645,7,9,0,0
2.2,1.2615384615384615,0.14142135623730917,3.0,2,0.47258156262526085,-1.3896361387064942,1.3,3.2,4.7,2.3,-2.9999999999999982,-0.24213982853319915,3,13,0,0
2.3,1.5666666666666667,0.19999999999999984,3.3,3,0.42067123233504533,-0.04917421014362659,5.7,3.3,6.3,2.5,0.0,-0.5906173273478378,8,6,0,0
2.15,1.4038461538461537,0.21213203435596414,3.0,2,0.42067123233504533,-0.04917421014362659,1.4,3.0,6.5,2.3,-2.9999999999999982,-0.7954316041564151,8,26,0,0
1.7999999999999998,1.55,0.2217355782608345,2.5,4,0.40756730868791613,0.7802697016697138,5.0,2.5,6.3,2.0,-0.48156304844926806,-0.1922986618696933,9,8,0,0
2.15,1.4038461538461537,0.21213203435596414,3.0,2,0.26457513110645914,-0.8099238707340553,1.4,3.0,6.5,2.3,-2.9999999999999982,-0.7954316041564151,5,26,0,0
2.2,0.7166666666666667,0.14142135623730917,3.1,2,0.43493294502332963,0.8295369566048805,1.5,3.4,4.8,2.4,-2.9999999999999982,1.4623484241071376,4,12,0,0
1.9,1.4038461538461537,0.31052950170405935,2.7,8,0.17320508075688784,-1.7320508075688743,1.4,3.0,6.5,2.3,0.3005618880691133,-0.7954316041564151,3,26,0,0
